sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4857;pms5003;3630;6.540;3.297;2023-12-01T05:32:46.225178+00:00;P2;45.70
4857;pms5003;3630;6.540;3.297;2023-12-01T05:32:46.225178+00:00;P1;56.20
4857;pms5003;3630;6.540;3.297;2023-12-01T05:32:46.225178+00:00;P0;31.10
4858;DHT22;3630;6.540;3.297;2023-12-01T05:33:00.284420+00:00;humidity;100.00
4858;DHT22;3630;6.540;3.297;2023-12-01T05:33:00.284420+00:00;temperature;26.30
4857;pms5003;3630;6.540;3.297;2023-12-01T05:34:06.969479+00:00;P2;43.67
4857;pms5003;3630;6.540;3.297;2023-12-01T05:34:06.969479+00:00;P1;52.33
4857;pms5003;3630;6.540;3.297;2023-12-01T05:34:06.969479+00:00;P0;28.00
4858;DHT22;3630;6.540;3.297;2023-12-01T05:34:20.872815+00:00;humidity;100.00
4858;DHT22;3630;6.540;3.297;2023-12-01T05:34:20.872815+00:00;temperature;26.50
4857;pms5003;3630;6.540;3.297;2023-12-01T05:35:15.814019+00:00;P2;40.67
4857;pms5003;3630;6.540;3.297;2023-12-01T05:35:15.814019+00:00;P1;47.67
4857;pms5003;3630;6.540;3.297;2023-12-01T05:35:15.814019+00:00;P0;26.67
4858;DHT22;3630;6.540;3.297;2023-12-01T05:35:28.972156+00:00;humidity;100.00
4858;DHT22;3630;6.540;3.297;2023-12-01T05:35:28.972156+00:00;temperature;26.60
4857;pms5003;3630;6.540;3.297;2023-12-01T05:36:23.096351+00:00;P2;48.00
4857;pms5003;3630;6.540;3.297;2023-12-01T05:36:23.096351+00:00;P1;60.00
4857;pms5003;3630;6.540;3.297;2023-12-01T05:36:23.096351+00:00;P0;32.00
4857;pms5003;3630;6.540;3.297;2023-12-01T05:37:43.546342+00:00;P2;43.50
4857;pms5003;3630;6.540;3.297;2023-12-01T05:37:43.546342+00:00;P1;52.00
4857;pms5003;3630;6.540;3.297;2023-12-01T05:37:43.546342+00:00;P0;30.00
4858;DHT22;3630;6.540;3.297;2023-12-01T05:38:06.527399+00:00;humidity;100.00
4858;DHT22;3630;6.540;3.297;2023-12-01T05:38:06.527399+00:00;temperature;26.90
4857;pms5003;3630;6.540;3.297;2023-12-01T05:39:04.894054+00:00;P2;41.00
4857;pms5003;3630;6.540;3.297;2023-12-01T05:39:04.894054+00:00;P1;48.33
4857;pms5003;3630;6.540;3.297;2023-12-01T05:39:04.894054+00:00;P0;27.00
4858;DHT22;3630;6.540;3.297;2023-12-01T05:39:25.165624+00:00;humidity;100.00
4858;DHT22;3630;6.540;3.297;2023-12-01T05:39:25.165624+00:00;temperature;27.10
4857;pms5003;3630;6.540;3.297;2023-12-01T05:40:24.091276+00:00;P2;34.50
4857;pms5003;3630;6.540;3.297;2023-12-01T05:40:24.091276+00:00;P1;40.00
4857;pms5003;3630;6.540;3.297;2023-12-01T05:40:24.091276+00:00;P0;24.50
4858;DHT22;3630;6.540;3.297;2023-12-01T05:40:47.127730+00:00;humidity;100.00
4858;DHT22;3630;6.540;3.297;2023-12-01T05:40:47.127730+00:00;temperature;27.20
4857;pms5003;3630;6.540;3.297;2023-12-01T05:41:46.009007+00:00;P2;39.50
4857;pms5003;3630;6.540;3.297;2023-12-01T05:41:46.009007+00:00;P1;48.50
4857;pms5003;3630;6.540;3.297;2023-12-01T05:41:46.009007+00:00;P0;27.50
4858;DHT22;3630;6.540;3.297;2023-12-01T05:42:10.427500+00:00;humidity;100.00
4858;DHT22;3630;6.540;3.297;2023-12-01T05:42:10.427500+00:00;temperature;27.30
4857;pms5003;3630;6.540;3.297;2023-12-01T05:43:10.719833+00:00;P2;38.25
4857;pms5003;3630;6.540;3.297;2023-12-01T05:43:10.719833+00:00;P1;47.00
