sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4856;DHT22;3629;6.428;3.435;2023-11-01T16:44:12.409509+00:00;humidity;82.60
4856;DHT22;3629;6.428;3.435;2023-11-01T16:44:12.409509+00:00;temperature;29.40
4855;pms5003;3629;6.428;3.435;2023-11-01T16:44:52.764459+00:00;P2;19.00
4855;pms5003;3629;6.428;3.435;2023-11-01T16:44:52.764459+00:00;P1;25.00
4855;pms5003;3629;6.428;3.435;2023-11-01T16:44:52.764459+00:00;P0;14.00
4856;DHT22;3629;6.428;3.435;2023-11-01T16:45:05.919275+00:00;humidity;80.30
4856;DHT22;3629;6.428;3.435;2023-11-01T16:45:05.919275+00:00;temperature;29.70
4857;pms5003;3630;6.540;3.297;2023-11-01T17:52:08.924982+00:00;P2;3.50
4857;pms5003;3630;6.540;3.297;2023-11-01T17:52:08.924982+00:00;P1;4.25
4857;pms5003;3630;6.540;3.297;2023-11-01T17:52:08.924982+00:00;P0;2.50
4858;DHT22;3630;6.540;3.297;2023-11-01T17:52:22.386859+00:00;humidity;78.00
4858;DHT22;3630;6.540;3.297;2023-11-01T17:52:22.386859+00:00;temperature;30.50
4857;pms5003;3630;6.540;3.297;2023-11-01T17:53:13.805911+00:00;P2;3.00
4857;pms5003;3630;6.540;3.297;2023-11-01T17:53:13.805911+00:00;P1;3.00
4857;pms5003;3630;6.540;3.297;2023-11-01T17:53:13.805911+00:00;P0;2.33
4858;DHT22;3630;6.540;3.297;2023-11-01T17:53:26.825073+00:00;humidity;78.30
4858;DHT22;3630;6.540;3.297;2023-11-01T17:53:26.825073+00:00;temperature;30.50
4853;pms5003;3628;6.559;3.386;2023-11-01T18:16:42.515782+00:00;P2;40.33
4853;pms5003;3628;6.559;3.386;2023-11-01T18:16:42.515782+00:00;P1;47.67
4853;pms5003;3628;6.559;3.386;2023-11-01T18:16:42.515782+00:00;P0;28.00
4854;DHT22;3628;6.559;3.386;2023-11-01T18:16:56.434707+00:00;humidity;77.50
4854;DHT22;3628;6.559;3.386;2023-11-01T18:16:56.434707+00:00;temperature;31.00
